Survey_Round,FSU,State,District,Sector,Sub_Sample,Hh_No,Person_No,Rel_To_Head,Sex,Age,General_Edu,Usual_Principal_Activity_Status,Subsidiary_Activity_Status,Weekly_Activity_Status,Earnings_Last_Month,Daily_Wages,Monthly_Exp,Multiplier
2023-24,FSU1901256,19,01,2,2,15,1,1,2,28,13,31,0,31,32683.93,1257.07,34008.8,541.92
2023-24,FSU3202130,32,02,1,1,13,2,9,1,26,13,31,0,31,35585.66,1368.68,37818.75,618.93
2023-24,FSU0702158,07,02,1,1,14,1,1,2,29,5,91,0,91,0.0,0.0,9545.56,724.38
2023-24,FSU3301161,33,01,1,2,6,3,2,2,37,13,91,0,91,0.0,0.0,13833.74,740.56
2023-24,FSU0901232,09,01,2,1,10,3,2,1,53,10,31,0,31,30683.87,1180.15,36041.99,574.35
2023-24,FSU1005142,10,05,1,2,1,6,9,1,48,12,41,0,41,19839.0,826.62,17510.88,619.44
2023-24,FSU1001289,10,01,2,1,6,6,2,2,47,8,91,0,91,0.0,0.0,9240.38,638.05
2023-24,FSU3304296,33,04,2,2,12,2,4,2,50,1,41,0,41,13597.76,566.57,10590.62,555.99
2023-24,FSU2404296,24,04,2,1,4,5,9,1,57,1,31,0,31,46647.04,1794.12,29009.92,384.63
2023-24,FSU0702128,07,02,1,2,1,1,1,1,45,12,11,0,11,22722.74,946.78,13286.66,552.97
2023-24,FSU2404128,24,04,1,1,11,6,2,1,64,10,11,0,11,24159.32,1006.64,8814.19,512.57
2023-24,FSU2902168,29,02,1,1,3,4,4,2,54,13,91,0,91,0.0,0.0,15797.4,533.51
2023-24,FSU2404241,24,04,2,2,14,6,4,2,55,5,41,0,41,19270.9,802.95,13037.96,314.15
2023-24,FSU0805127,08,05,1,1,3,2,9,1,60,5,11,0,11,11617.63,484.07,12637.89,476.15
2023-24,FSU3304284,33,04,2,2,12,1,1,2,45,1,41,0,41,12799.73,533.32,10777.8,774.15
2023-24,FSU2905172,29,05,1,1,4,3,9,2,16,10,91,0,91,0.0,0.0,14414.36,738.35
2023-24,FSU3205160,32,05,1,2,10,5,2,1,56,10,11,0,11,8634.58,359.77,19869.62,332.11
2023-24,FSU3304253,33,04,2,2,13,4,4,2,31,1,91,0,91,0.0,0.0,5251.98,527.59
2023-24,FSU3301113,33,01,1,2,4,2,2,1,30,5,31,0,31,43198.48,1661.48,34092.14,302.58
2023-24,FSU0802130,08,02,1,1,5,1,1,1,34,12,41,0,41,12506.14,521.09,20528.42,809.03
2023-24,FSU2705123,27,05,1,1,12,3,2,1,37,12,31,0,31,18447.84,709.53,33830.2,603.28
2023-24,FSU1004165,10,04,1,2,6,6,9,1,42,5,41,0,41,18009.15,750.38,14347.95,581.14
2023-24,FSU2404251,24,04,2,2,14,2,2,2,43,5,91,0,91,0.0,0.0,12408.05,617.73
2023-24,FSU0904233,09,04,2,1,8,2,4,2,36,8,41,0,41,15332.55,638.86,14892.66,283.74
2023-24,FSU1004198,10,04,1,2,8,6,9,2,65,1,11,0,11,13088.02,545.33,10707.77,320.31
2023-24,FSU2405264,24,05,2,2,12,5,4,2,59,10,41,0,41,9610.76,400.45,10905.97,654.9
2023-24,FSU2705134,27,05,1,2,4,6,9,2,61,12,41,0,41,21652.57,902.19,21688.17,357.37
2023-24,FSU1903178,19,03,1,1,3,3,2,1,50,8,41,0,41,17757.39,739.89,21105.43,676.95
2023-24,FSU0905270,09,05,2,2,8,4,4,1,18,8,81,0,81,0.0,0.0,11210.48,725.48
2023-24,FSU2401129,24,01,1,1,3,5,4,1,30,1,41,0,41,17126.35,713.6,18231.1,703.52
2023-24,FSU2904266,29,04,2,1,5,5,9,2,51,12,11,0,11,19801.79,825.07,15754.09,813.31
2023-24,FSU3303130,33,03,1,1,4,2,2,1,15,10,81,0,81,0.0,0.0,12719.55,353.88
2023-24,FSU0703219,07,03,2,1,11,2,4,1,42,1,41,0,41,7979.79,332.49,9596.95,335.94
2023-24,FSU2701149,27,01,1,2,10,6,4,2,22,10,41,0,41,23853.52,993.9,17195.74,500.33
2023-24,FSU2401165,24,01,1,1,12,3,4,1,20,5,81,0,81,0.0,0.0,15867.46,552.64
2023-24,FSU0705132,07,05,1,1,8,5,9,2,26,12,91,0,91,0.0,0.0,13252.2,494.21
2023-24,FSU2403252,24,03,2,1,6,6,2,1,36,10,41,0,41,18251.67,760.49,13927.5,430.32
2023-24,FSU2401242,24,01,2,2,6,1,1,2,47,1,91,0,91,0.0,0.0,10372.22,281.31
2023-24,FSU3204216,32,04,2,1,4,3,3,2,43,13,91,0,91,0.0,0.0,6578.54,831.2
2023-24,FSU1903180,19,03,1,2,7,1,1,1,22,10,11,0,11,8079.42,336.64,16363.36,802.86
2023-24,FSU2903271,29,03,2,2,8,2,9,1,39,5,41,0,41,22586.53,941.11,14131.85,754.82
2023-24,FSU1003210,10,03,2,2,5,6,4,2,24,10,91,0,91,0.0,0.0,9486.61,536.34
2023-24,FSU2403199,24,03,1,2,4,5,9,1,64,10,11,0,11,14459.53,602.48,11090.82,789.4
2023-24,FSU1002214,10,02,2,1,3,5,4,1,43,1,41,0,41,5306.95,221.12,20567.07,250.91
2023-24,FSU2704253,27,04,2,2,10,6,9,1,36,13,41,0,41,11333.22,472.22,12080.15,653.1
2023-24,FSU2901140,29,01,1,1,11,6,4,1,62,1,31,0,31,53018.48,2039.17,44285.15,642.72
2023-24,FSU2402213,24,02,2,1,1,3,2,2,37,8,91,0,91,0.0,0.0,6892.41,521.82
2023-24,FSU1902188,19,02,1,1,14,4,3,2,52,5,31,0,31,27698.87,1065.34,27217.95,328.73
2023-24,FSU2403119,24,03,1,2,8,3,4,2,59,8,91,0,91,0.0,0.0,15988.95,289.45
2023-24,FSU2401158,24,01,1,1,10,3,4,2,16,10,11,0,11,18715.99,779.83,15054.86,671.27
2023-24,FSU3204239,32,04,2,1,10,3,3,1,54,8,41,0,41,20349.42,847.89,18089.24,626.6
2023-24,FSU2701266,27,01,2,2,1,5,4,1,20,8,31,0,31,21607.99,831.08,17796.12,527.59
2023-24,FSU2905231,29,05,2,2,5,4,4,2,22,10,11,0,11,24330.0,1013.75,8252.11,752.1
2023-24,FSU2903160,29,03,1,1,1,3,2,2,38,13,41,0,41,21448.35,893.68,15352.96,808.2
2023-24,FSU3304189,33,04,1,2,15,5,4,1,56,1,41,0,41,23187.75,966.16,19181.69,361.53
2023-24,FSU2702114,27,02,1,2,5,4,2,1,30,12,11,0,11,12420.23,517.51,12218.33,814.57
2023-24,FSU3202293,32,02,2,2,2,4,9,2,17,10,91,0,91,0.0,0.0,10781.05,315.28
2023-24,FSU2703217,27,03,2,1,7,3,3,1,44,1,41,0,41,17789.86,741.24,9393.69,829.77
2023-24,FSU0802182,08,02,1,1,4,1,1,1,52,5,11,0,11,7951.08,331.3,11256.95,780.37
2023-24,FSU0702179,07,02,1,1,5,2,2,1,23,1,31,0,31,26896.58,1034.48,38069.49,376.64
2023-24,FSU0701163,07,01,1,1,9,1,1,1,45,10,31,0,31,20452.7,786.64,28936.85,502.69
2023-24,FSU2903292,29,03,2,1,1,1,1,2,40,10,11,0,11,23194.02,966.42,13844.3,201.44
2023-24,FSU0805118,08,05,1,1,3,3,4,2,53,12,41,0,41,17108.54,712.86,13259.45,219.42
2023-24,FSU2902267,29,02,2,2,15,2,9,2,44,10,91,0,91,0.0,0.0,14484.96,368.78
2023-24,FSU0703197,07,03,1,1,15,4,2,1,20,1,81,0,81,0.0,0.0,14679.66,410.85
2023-24,FSU2901295,29,01,2,1,2,4,4,2,61,1,41,0,41,12032.92,501.37,15606.56,554.54
2023-24,FSU1904123,19,04,1,1,6,5,4,1,63,8,41,0,41,13582.25,565.93,9618.55,542.68
2023-24,FSU3203133,32,03,1,1,5,6,4,2,37,1,31,0,31,43316.05,1666.0,40705.47,430.55
2023-24,FSU0901158,09,01,1,1,7,4,4,1,38,8,41,0,41,23828.15,992.84,11190.13,567.36
2023-24,FSU1902196,19,02,1,1,2,3,9,2,46,12,91,0,91,0.0,0.0,10384.39,300.9
2023-24,FSU0804146,08,04,1,1,11,6,9,2,17,5,11,0,11,11028.39,459.52,6122.99,297.86
2023-24,FSU0703225,07,03,2,2,1,4,9,1,23,10,41,0,41,15005.25,625.22,17258.74,733.35
2023-24,FSU2704165,27,04,1,1,1,4,2,2,51,10,91,0,91,0.0,0.0,14223.49,442.39
2023-24,FSU1001231,10,01,2,1,13,5,9,2,20,10,81,0,81,0.0,0.0,8163.11,562.21
2023-24,FSU1003238,10,03,2,1,6,2,2,1,48,12,11,0,11,11987.51,499.48,20494.76,659.17
2023-24,FSU3301142,33,01,1,2,4,2,3,1,26,13,31,0,31,43186.77,1661.03,27310.45,555.63
2023-24,FSU0802218,08,02,2,1,8,4,4,2,52,1,41,0,41,11208.16,467.01,14117.39,466.34
2023-24,FSU0803192,08,03,1,2,14,1,1,2,44,12,11,0,11,21196.32,883.18,13195.74,606.29
2023-24,FSU3204117,32,04,1,1,8,1,1,2,60,1,31,0,31,50381.09,1937.73,13291.69,843.69
2023-24,FSU0803259,08,03,2,1,7,3,2,2,19,8,91,0,91,0.0,0.0,8693.91,656.61
2023-24,FSU0801154,08,01,1,1,5,6,9,1,53,13,11,0,11,12533.59,522.23,10953.31,704.16
2023-24,FSU2901275,29,01,2,1,6,1,1,2,34,5,31,0,31,53307.81,2050.3,23277.17,284.4
2023-24,FSU1901222,19,01,2,1,9,5,2,2,64,12,31,0,31,22712.64,873.56,31709.13,276.59
2023-24,FSU2401256,24,01,2,2,11,6,3,2,54,8,91,0,91,0.0,0.0,8042.04,317.42
2023-24,FSU3303269,33,03,2,2,13,3,9,2,25,5,31,0,31,17608.99,677.27,40809.06,486.41
2023-24,FSU2901146,29,01,1,2,2,2,4,2,47,5,91,0,91,0.0,0.0,6192.28,787.35
2023-24,FSU0801216,08,01,2,2,7,5,4,1,39,1,31,0,31,30934.24,1189.78,19409.78,219.36
2023-24,FSU1902146,19,02,1,1,15,4,3,2,43,12,11,0,11,5380.08,224.17,20493.72,300.96
2023-24,FSU2905224,29,05,2,1,13,3,3,2,22,1,31,0,31,54694.96,2103.65,25854.24,469.98
2023-24,FSU2405190,24,05,1,1,9,5,3,1,33,10,11,0,11,9811.28,408.8,15836.95,441.6
2023-24,FSU2903177,29,03,1,1,9,5,2,2,45,1,91,0,91,0.0,0.0,17753.51,327.56
2023-24,FSU0801240,08,01,2,2,12,6,2,2,23,1,41,0,41,21270.18,886.26,14736.22,272.56
2023-24,FSU2402118,24,02,1,2,12,4,2,2,27,1,31,0,31,30779.79,1183.84,41231.08,367.05
2023-24,FSU2904214,29,04,2,2,13,6,3,2,37,1,41,0,41,20986.85,874.45,10371.47,455.87
2023-24,FSU2404233,24,04,2,1,8,6,9,2,48,8,11,0,11,6578.54,274.11,17633.3,571.72
2023-24,FSU2903223,29,03,2,2,2,3,4,2,43,12,91,0,91,0.0,0.0,7166.38,460.74
2023-24,FSU0903245,09,03,2,1,11,1,1,1,57,13,31,0,31,55054.8,2117.49,23989.27,625.59
2023-24,FSU1905214,19,05,2,1,3,1,1,1,64,13,31,0,31,62473.36,2402.82,23950.97,172.67
2023-24,FSU2403266,24,03,2,1,13,1,1,1,48,8,31,0,31,28934.49,1112.87,22374.72,822.36
2023-24,FSU1904281,19,04,2,1,2,3,4,2,28,12,41,0,41,24972.58,1040.52,17103.69,290.12
2023-24,FSU2704166,27,04,1,1,2,6,4,2,60,1,41,0,41,22027.24,917.8,20261.31,648.27
2023-24,FSU0805125,08,05,1,1,4,2,3,2,16,8,81,0,81,0.0,0.0,9795.85,712.56
2023-24,FSU3201149,32,01,1,2,7,6,9,2,64,10,11,0,11,11340.55,472.52,8005.23,201.92
2023-24,FSU2903180,29,03,1,1,11,5,3,1,42,12,11,0,11,15362.04,640.09,19302.25,362.89
2023-24,FSU0802276,08,02,2,1,15,3,2,2,27,13,41,0,41,11056.49,460.69,8002.72,523.43
2023-24,FSU3205131,32,05,1,2,11,5,4,1,16,1,41,0,41,10293.12,428.88,18336.36,297.57
2023-24,FSU3201290,32,01,2,1,9,3,4,2,30,13,91,0,91,0.0,0.0,8866.64,201.08
2023-24,FSU1904271,19,04,2,1,8,2,4,1,35,13,31,0,31,58038.87,2232.26,36228.59,832.76
2023-24,FSU0805150,08,05,1,2,4,4,2,2,43,5,31,0,31,29510.6,1135.02,15194.78,418.9
2023-24,FSU3302283,33,02,2,2,12,3,3,1,46,12,31,0,31,30427.02,1170.27,28459.07,166.22
2023-24,FSU2904137,29,04,1,1,10,3,2,1,33,10,41,0,41,18085.2,753.55,20117.43,479.41
2023-24,FSU2704143,27,04,1,2,12,3,9,2,17,10,31,0,31,29430.08,1131.93,23963.28,420.44
2023-24,FSU2903126,29,03,1,1,2,4,4,2,50,8,31,0,31,40456.13,1556.0,18568.91,500.05
2023-24,FSU0902270,09,02,2,2,9,4,3,1,35,12,31,0,31,64530.79,2481.95,17362.57,667.52
2023-24,FSU3203282,32,03,2,1,5,4,2,2,36,13,11,0,11,16674.04,694.75,21678.37,707.73
2023-24,FSU3204293,32,04,2,2,13,5,3,1,52,10,11,0,11,19423.66,809.32,14387.72,692.22
2023-24,FSU1902183,19,02,1,2,12,1,1,1,16,10,11,0,11,9077.83,378.24,12607.36,501.27
2023-24,FSU0902181,09,02,1,2,6,6,9,2,35,5,91,0,91,0.0,0.0,16857.61,389.63
2023-24,FSU0705234,07,05,2,2,4,3,4,1,34,8,41,0,41,19099.77,795.82,9316.44,371.93
2023-24,FSU2903225,29,03,2,2,10,6,9,2,37,5,41,0,41,24106.27,1004.43,6673.06,205.32
2023-24,FSU0704135,07,04,1,1,14,5,4,2,23,1,31,0,31,48491.7,1865.07,20001.12,521.73
2023-24,FSU0901252,09,01,2,2,12,4,2,1,15,10,81,0,81,0.0,0.0,7053.23,607.02
2023-24,FSU2402251,24,02,2,1,5,6,2,1,56,12,11,0,11,19462.35,810.93,14562.44,805.67
2023-24,FSU1002160,10,02,1,2,13,4,3,2,17,1,11,0,11,11700.84,487.54,20855.28,468.04
2023-24,FSU1905244,19,05,2,1,4,1,1,2,25,13,91,0,91,0.0,0.0,13427.71,653.02
2023-24,FSU0803132,08,03,1,2,10,6,9,2,47,8,11,0,11,6907.7,287.82,12413.33,837.18
2023-24,FSU0802143,08,02,1,1,7,2,9,2,36,8,11,0,11,12191.04,507.96,10184.85,315.41
2023-24,FSU2403161,24,03,1,1,11,5,4,1,55,8,31,0,31,25956.43,998.32,32282.64,243.5
2023-24,FSU2405263,24,05,2,2,12,5,9,1,63,5,41,0,41,22462.7,935.95,18075.83,207.31
2023-24,FSU2903182,29,03,1,1,2,1,1,1,51,12,11,0,11,22089.72,920.41,8632.59,459.29
2023-24,FSU3204175,32,04,1,2,8,1,1,2,23,12,91,0,91,0.0,0.0,10938.38,190.42
2023-24,FSU0701242,07,01,2,1,14,1,1,1,52,1,11,0,11,19007.7,791.99,12779.16,528.81
2023-24,FSU2704146,27,04,1,2,7,2,3,2,38,10,91,0,91,0.0,0.0,16305.06,784.74
2023-24,FSU2705193,27,05,1,1,14,3,2,1,49,10,41,0,41,24574.49,1023.94,8037.55,734.38
2023-24,FSU0704278,07,04,2,1,7,2,3,2,37,5,41,0,41,22504.16,937.67,9015.69,685.84
2023-24,FSU1005140,10,05,1,1,4,1,1,1,53,1,31,0,31,50164.31,1929.4,31726.9,184.07
2023-24,FSU1004179,10,04,1,2,4,1,1,1,47,8,11,0,11,19630.35,817.93,19052.58,373.23
2023-24,FSU3303194,33,03,1,2,9,2,9,2,32,1,31,0,31,36360.03,1398.46,32657.77,496.93
2023-24,FSU1005299,10,05,2,1,7,4,3,2,39,5,91,0,91,0.0,0.0,8132.59,307.74
2023-24,FSU2401263,24,01,2,2,9,5,3,2,30,8,31,0,31,18953.52,728.98,22898.68,464.85
2023-24,FSU2705116,27,05,1,2,5,4,2,1,27,12,41,0,41,9340.33,389.18,16743.21,296.22
2023-24,FSU0701134,07,01,1,2,12,1,1,2,30,13,31,0,31,26966.55,1037.17,25088.86,375.13
2023-24,FSU1004249,10,04,2,2,5,3,9,2,21,13,81,0,81,0.0,0.0,15916.51,790.03
2023-24,FSU0804182,08,04,1,2,14,2,3,1,31,12,41,0,41,13351.56,556.31,15266.29,256.69
2023-24,FSU3304173,33,04,1,2,9,6,4,2,63,10,91,0,91,0.0,0.0,10990.78,662.94
2023-24,FSU1902233,19,02,2,1,15,5,2,1,19,13,11,0,11,21850.89,910.45,12598.28,312.0
2023-24,FSU0902257,09,02,2,2,1,5,9,2,16,1,81,0,81,0.0,0.0,10347.4,161.71
2023-24,FSU2903174,29,03,1,2,14,6,9,1,21,1,81,0,81,0.0,0.0,8132.59,583.85
2023-24,FSU0803220,08,03,2,1,6,4,9,1,59,5,31,0,31,57393.36,2207.44,34573.37,607.62
2023-24,FSU2704258,27,04,2,1,9,4,2,1,59,5,11,0,11,13678.19,569.92,13997.73,699.06
2023-24,FSU2901137,29,01,1,1,15,6,9,2,17,1,81,0,81,0.0,0.0,8644.85,530.12
2023-24,FSU1903136,19,03,1,2,10,2,9,1,34,5,41,0,41,21693.01,903.88,9847.56,422.41
2023-24,FSU1002174,10,02,1,2,12,3,2,1,42,5,11,0,11,20380.11,849.17,11449.48,818.4
2023-24,FSU0801267,08,01,2,1,8,2,4,2,42,5,91,0,91,0.0,0.0,6114.02,583.03
2023-24,FSU2701229,27,01,2,2,7,6,3,2,35,8,11,0,11,23859.2,994.13,7464.33,461.32
2023-24,FSU2702133,27,02,1,1,7,4,9,1,16,1,11,0,11,20688.77,862.03,15550.79,754.6
2023-24,FSU0704220,07,04,2,1,12,5,3,1,58,10,11,0,11,11022.63,459.28,8221.44,495.19
2023-24,FSU1904263,19,04,2,1,5,4,2,2,31,5,91,0,91,0.0,0.0,12719.48,286.88
2023-24,FSU1903160,19,03,1,1,6,5,9,2,43,8,91,0,91,0.0,0.0,15601.18,751.66
2023-24,FSU0703171,07,03,1,2,6,2,9,2,33,13,91,0,91,0.0,0.0,17580.92,697.38
2023-24,FSU1003256,10,03,2,2,2,5,3,1,58,12,11,0,11,14232.44,593.02,21248.07,645.86
2023-24,FSU0701296,07,01,2,2,8,2,4,1,31,13,11,0,11,20781.54,865.9,17443.78,201.78
2023-24,FSU3204279,32,04,2,2,1,3,2,1,64,5,41,0,41,8326.77,346.95,16635.1,578.87
2023-24,FSU0804111,08,04,1,1,2,3,3,1,43,8,31,0,31,48977.77,1883.76,27281.09,633.31
2023-24,FSU0801223,08,01,2,2,5,4,2,1,61,5,31,0,31,37766.63,1452.56,22292.38,294.81
2023-24,FSU0804166,08,04,1,1,12,6,9,2,19,8,11,0,11,11861.56,494.23,6361.36,226.55
2023-24,FSU3305180,33,05,1,1,3,3,9,2,29,10,31,0,31,47865.4,1840.98,18150.77,426.91
2023-24,FSU2405259,24,05,2,2,1,6,3,1,32,13,11,0,11,20990.05,874.59,15237.57,525.82
2023-24,FSU0802224,08,02,2,2,5,6,9,2,53,10,91,0,91,0.0,0.0,12631.06,393.55
2023-24,FSU3202288,32,02,2,2,10,1,1,1,35,1,11,0,11,8660.89,360.87,10886.08,635.41
2023-24,FSU1005183,10,05,1,2,7,4,3,2,55,12,31,0,31,39482.1,1518.54,30312.12,248.21
2023-24,FSU2405155,24,05,1,2,1,4,3,1,39,12,41,0,41,13182.69,549.28,16449.12,494.21
2023-24,FSU2402182,24,02,1,2,1,2,4,1,32,5,41,0,41,20614.8,858.95,10618.72,545.96
2023-24,FSU2905183,29,05,1,1,2,3,4,1,63,13,31,0,31,64488.79,2480.34,30029.66,221.69
2023-24,FSU0701243,07,01,2,2,6,1,1,2,22,5,31,0,31,44396.19,1707.55,38753.19,395.44
2023-24,FSU1905136,19,05,1,2,14,2,2,2,49,8,31,0,31,50202.69,1930.87,22680.57,352.53
2023-24,FSU2901162,29,01,1,2,15,1,1,2,56,5,31,0,31,50569.74,1944.99,20239.35,729.94
2023-24,FSU2402290,24,02,2,2,7,4,9,1,55,1,31,0,31,28911.28,1111.97,29015.24,805.44
2023-24,FSU2404284,24,04,2,2,1,6,2,2,55,13,41,0,41,20913.56,871.4,19601.7,428.4
2023-24,FSU3304251,33,04,2,2,14,3,4,1,51,10,31,0,31,53112.7,2042.8,41507.1,182.16
2023-24,FSU0901166,09,01,1,2,8,1,1,2,27,13,31,0,31,30093.28,1157.43,41110.88,762.1
2023-24,FSU2703220,27,03,2,1,6,6,3,1,40,13,31,0,31,52761.61,2029.29,35957.62,450.46
2023-24,FSU2701171,27,01,1,2,2,2,3,2,15,1,81,0,81,0.0,0.0,15622.42,841.71
2023-24,FSU1904139,19,04,1,1,7,1,1,1,21,8,31,0,31,53673.02,2064.35,16525.27,677.21
2023-24,FSU1901188,19,01,1,1,11,2,9,2,61,5,31,0,31,45803.8,1761.68,42356.51,459.67
2023-24,FSU2701125,27,01,1,2,10,6,9,2,42,8,31,0,31,47231.03,1816.58,20176.95,323.72
2023-24,FSU0903176,09,03,1,2,10,5,3,2,33,13,11,0,11,20875.56,869.82,18540.83,317.54
2023-24,FSU2702291,27,02,2,1,10,1,1,1,38,8,11,0,11,21779.47,907.48,12189.41,444.6
2023-24,FSU2401185,24,01,1,2,2,1,1,2,28,1,11,0,11,12959.5,539.98,21178.88,350.54
2023-24,FSU1004191,10,04,1,1,9,5,3,2,20,8,31,0,31,22768.86,875.73,44152.34,378.73
2023-24,FSU0704117,07,04,1,1,4,1,1,2,22,10,11,0,11,19833.87,826.41,10948.64,668.46
2023-24,FSU0902130,09,02,1,1,8,3,4,1,38,5,41,0,41,10375.29,432.3,18497.98,770.49
2023-24,FSU0804277,08,04,2,1,2,3,2,2,44,12,41,0,41,22187.2,924.47,6887.03,266.82
2023-24,FSU0701139,07,01,1,1,12,5,2,1,15,5,31,0,31,22504.23,865.55,24638.32,801.81
2023-24,FSU2904151,29,04,1,2,4,4,4,2,19,12,11,0,11,21086.76,878.61,8869.51,836.99
2023-24,FSU2704249,27,04,2,2,6,1,1,2,15,8,41,0,41,9851.68,410.49,17833.22,407.79
2023-24,FSU3305129,33,05,1,1,1,4,2,1,49,8,41,0,41,22543.97,939.33,19433.18,815.69
2023-24,FSU1003136,10,03,1,2,9,2,9,2,18,5,81,0,81,0.0,0.0,6209.35,794.89
2023-24,FSU0804184,08,04,1,1,2,5,3,2,19,12,81,0,81,0.0,0.0,10654.78,824.95
2023-24,FSU0703260,07,03,2,1,12,6,4,2,43,8,31,0,31,25135.63,966.75,14464.69,695.96
2023-24,FSU1901167,19,01,1,1,8,3,9,1,49,8,11,0,11,14266.93,594.46,13230.67,746.74
2023-24,FSU1903137,19,03,1,1,14,3,3,1,60,5,31,0,31,17447.53,671.06,25076.07,359.19
2023-24,FSU0904281,09,04,2,1,12,5,3,1,44,1,11,0,11,6233.38,259.72,7943.25,696.67
2023-24,FSU1902257,19,02,2,1,11,6,2,2,19,1,81,0,81,0.0,0.0,7570.75,602.19
2023-24,FSU2703115,27,03,1,1,8,1,1,1,51,10,41,0,41,5589.65,232.9,12319.98,628.25
2023-24,FSU0802145,08,02,1,2,5,4,3,1,54,12,41,0,41,10902.1,454.25,9932.56,438.39
2023-24,FSU0901259,09,01,2,2,3,4,3,1,55,12,11,0,11,20638.32,859.93,21830.46,401.38
2023-24,FSU0805259,08,05,2,2,5,2,2,2,53,5,11,0,11,20570.77,857.12,20332.24,191.01
2023-24,FSU2903130,29,03,1,2,2,2,3,2,49,13,11,0,11,23956.05,998.17,18224.8,552.98
2023-24,FSU0802140,08,02,1,1,10,3,4,1,60,13,31,0,31,43180.32,1660.78,43269.44,544.18
2023-24,FSU2405232,24,05,2,2,8,1,1,1,18,5,81,0,81,0.0,0.0,5259.06,484.59
2023-24,FSU3202153,32,02,1,2,12,2,4,1,16,5,81,0,81,0.0,0.0,16923.91,692.06
2023-24,FSU2703285,27,03,2,2,2,3,4,2,23,5,91,0,91,0.0,0.0,15293.95,822.46
2023-24,FSU1905238,19,05,2,2,11,5,3,2,34,13,41,0,41,19576.62,815.69,8037.57,814.15
2023-24,FSU3201187,32,01,1,1,6,5,3,1,46,5,31,0,31,26899.8,1034.61,36596.33,837.67
2023-24,FSU2703211,27,03,2,2,5,2,3,1,37,8,11,0,11,5962.95,248.46,17526.62,456.75
2023-24,FSU1904258,19,04,2,1,6,5,9,1,45,12,41,0,41,9511.65,396.32,18131.9,465.9
2023-24,FSU0701243,07,01,2,1,2,1,1,2,25,10,31,0,31,42352.31,1628.93,36155.51,778.69
2023-24,FSU0805213,08,05,2,2,7,6,3,2,25,1,11,0,11,24487.97,1020.33,11297.51,436.5
2023-24,FSU0703122,07,03,1,1,1,4,9,1,18,8,11,0,11,18240.4,760.02,10712.79,570.15
